gender,ssc_p,hsc_p,degree_p,workex,etest_p,specialisation,mba_p,status,salary,dummy__Commerce,dummy__Science,dummy__Others,dummy__Sci&Tech
1,61.0,70.0,64.0,0,68.5,1,59.5,0,0.0,1,0,0,0
0,74.0,73.0,73.0,1,80.0,0,67.69,1,210000.0,1,0,0,0
1,62.0,63.0,66.0,0,85.0,1,55.14,1,233000.0,0,1,0,0
1,77.67,64.89,70.67,0,89.0,0,60.39,1,300000.0,1,0,0,0
1,73.24,50.83,64.27,1,64.0,0,66.23,1,500000.0,0,1,0,1
0,77.0,86.0,56.0,0,57.0,0,64.08,1,240000.0,0,0,1,0
0,69.0,73.0,65.0,0,70.0,0,57.31,1,220000.0,1,0,0,0
0,69.5,70.0,72.0,0,57.2,1,54.8,1,250000.0,0,1,0,1
1,44.0,58.0,55.0,1,64.25,1,58.54,0,0.0,0,0,0,0
0,79.0,61.0,75.5,1,70.0,0,68.2,1,210000.0,0,1,0,1
0,86.5,64.2,67.4,0,59.0,0,59.69,1,240000.0,0,1,0,1
0,45.0,57.0,58.0,1,56.39,1,64.95,0,0.0,1,0,0,0
0,74.9,57.0,62.0,1,80.0,0,60.78,1,360000.0,0,1,1,0
1,60.0,67.0,70.0,1,50.48,0,77.89,1,236000.0,0,0,0,0
1,82.0,90.0,83.0,0,80.0,1,73.52,1,200000.0,1,0,0,0
1,63.0,67.0,74.0,0,82.0,0,60.44,0,0.0,1,0,0,0
1,65.0,65.0,75.0,0,83.0,0,58.87,1,270000.0,1,0,0,0
1,65.0,68.0,64.0,0,75.0,0,57.8,1,250000.0,0,0,0,0
1,69.0,63.0,65.0,1,55.0,1,58.23,1,360000.0,0,1,0,0
0,84.0,75.0,69.0,1,62.0,1,62.36,1,210000.0,0,1,0,1
0,60.23,69.0,66.0,0,72.0,0,59.47,1,230000.0,0,1,0,0
0,40.89,45.83,53.0,0,71.2,1,65.49,0,0.0,1,0,0,0
1,52.0,55.0,56.3,0,59.0,0,64.74,0,0.0,1,0,0,0
1,58.0,61.0,61.0,0,58.0,1,53.94,1,250000.0,1,0,0,0
1,81.7,63.0,67.0,1,86.0,0,70.2,1,300000.0,0,1,0,0
0,43.0,60.0,65.0,0,92.66,1,62.92,0,0.0,0,1,0,0
1,79.33,78.33,77.48,1,86.5,0,66.28,1,200000.0,0,1,0,1
1,51.0,54.0,61.0,0,60.0,1,60.64,0,0.0,0,1,0,1
1,53.0,63.0,60.0,1,70.0,0,53.2,1,250000.0,0,1,0,0
1,82.0,64.0,66.0,1,67.0,0,62.14,1,252000.0,0,1,0,1
1,74.0,62.0,68.0,0,74.0,0,57.99,1,268000.0,0,1,0,0
1,82.0,61.0,62.0,0,89.0,0,65.45,1,360000.0,0,1,0,1
0,70.5,62.5,61.0,0,93.91,0,69.03,0,0.0,1,0,0,0
1,54.4,61.12,56.2,0,67.0,1,62.65,0,0.0,1,0,0,0
1,80.0,73.0,75.0,0,61.0,0,58.78,1,240000.0,1,0,0,0
0,65.0,75.0,69.0,1,72.0,0,64.66,1,200000.0,1,0,0,0
1,83.0,74.0,66.0,0,68.92,1,58.46,1,275000.0,0,1,0,0
0,52.0,64.0,61.0,0,55.0,0,62.93,0,0.0,1,0,0,0
0,69.0,62.0,69.0,1,67.0,1,62.35,1,240000.0,1,0,0,0
0,77.8,64.0,64.2,0,75.5,1,72.14,0,0.0,0,1,0,1
1,67.9,62.0,67.0,1,58.1,0,75.71,0,0.0,0,1,0,1
1,62.0,62.0,60.0,1,63.0,1,52.38,1,240000.0,1,0,0,0
1,74.2,87.6,77.25,1,75.2,0,66.06,1,285000.0,1,0,0,0
0,66.5,70.4,71.93,0,61.0,0,64.27,1,230000.0,0,0,0,0
1,67.0,91.0,58.0,0,55.0,1,58.8,1,270000.0,1,0,0,1
0,63.4,67.2,60.0,0,58.06,1,69.28,0,0.0,1,0,0,0
0,83.96,53.0,91.0,0,59.32,1,69.71,1,260000.0,0,1,0,1
0,60.0,63.0,56.0,1,80.0,1,56.63,1,300000.0,0,0,1,0
1,69.0,60.0,65.0,0,87.55,0,52.81,1,300000.0,1,0,0,0
1,68.0,56.0,68.0,0,73.0,1,68.07,1,350000.0,0,1,0,1
1,62.0,47.0,50.0,0,76.0,1,54.96,0,0.0,1,0,0,0
1,65.0,77.0,69.0,0,60.0,1,61.82,1,276000.0,1,0,0,0
1,83.33,78.0,61.0,1,88.56,0,71.55,1,300000.0,1,0,0,0
1,55.68,61.33,56.87,0,66.0,1,58.3,1,260000.0,1,0,0,0
1,75.0,70.29,71.0,0,95.0,0,66.94,1,240000.0,1,0,0,0
0,64.0,73.5,73.0,0,52.0,1,56.7,1,250000.0,1,0,0,0
1,77.0,75.0,73.0,0,80.0,0,67.05,1,240000.0,0,1,0,1
1,73.0,73.0,66.0,1,70.0,0,68.07,1,275000.0,0,1,0,1
0,75.4,60.5,84.0,0,98.0,0,65.25,1,240000.0,0,1,0,1
1,62.0,65.0,66.0,0,50.0,1,56.7,1,265000.0,1,0,0,0
0,47.0,59.0,64.0,0,78.0,0,61.58,0,0.0,0,0,0,0
1,58.0,60.0,72.0,0,74.0,0,53.62,1,275000.0,0,1,0,1
0,85.0,90.0,82.0,0,92.0,0,68.03,1,300000.0,1,0,0,0
1,78.5,65.5,67.0,1,95.0,0,64.86,1,280000.0,0,1,0,1
1,67.0,63.0,64.0,0,60.0,0,61.87,0,0.0,0,1,0,1
1,59.6,51.0,60.0,0,75.0,1,59.08,0,0.0,0,1,1,0
0,59.0,60.0,56.0,0,55.0,1,57.9,1,220000.0,1,0,0,0
1,62.0,51.0,52.0,0,68.44,1,62.77,0,0.0,0,1,1,0
0,74.0,60.0,69.0,0,78.0,1,65.56,1,216000.0,0,1,0,0
0,59.0,62.0,77.5,0,74.0,1,67.0,0,0.0,1,0,0,0
1,74.0,70.0,72.0,1,60.0,0,57.24,1,260000.0,0,1,0,0
1,58.0,61.0,60.0,1,62.0,1,60.85,1,260000.0,1,0,0,0
1,67.0,68.0,64.0,1,74.4,1,53.49,1,300000.0,1,0,0,0
0,61.0,81.0,66.4,0,50.89,1,62.21,1,278000.0,1,0,0,0
0,63.3,78.33,74.0,0,80.0,0,74.56,0,0.0,1,0,0,0
1,65.0,68.0,69.0,0,53.7,1,55.01,1,250000.0,0,1,0,0
0,55.0,67.0,64.0,0,60.0,0,67.28,0,0.0,1,0,0,0
0,69.8,60.8,72.23,0,55.53,1,68.81,1,360000.0,0,1,0,1
0,66.0,62.0,73.0,0,58.0,1,64.36,1,210000.0,1,0,0,0
1,85.0,60.0,73.43,1,60.0,0,61.29,1,260000.0,0,1,0,1
0,69.0,62.0,66.0,0,75.0,1,67.99,0,0.0,0,1,0,1
0,77.0,61.0,68.0,1,57.5,0,61.31,1,300000.0,1,0,0,0
1,80.4,73.4,77.72,1,81.2,1,76.26,1,400000.0,0,1,0,1
1,68.0,76.0,74.0,0,80.0,0,63.59,1,360000.0,1,0,0,0
1,55.0,49.8,67.25,1,55.0,0,51.58,0,0.0,0,1,0,1
0,73.0,63.0,66.0,0,89.0,0,60.5,1,216000.0,0,1,0,0
1,55.6,51.0,57.5,0,57.63,1,62.72,0,0.0,1,0,0,0
0,76.0,64.0,72.0,0,58.0,1,66.53,0,0.0,0,1,0,1
1,84.2,73.4,66.89,0,61.6,0,62.48,1,300000.0,1,0,0,0
0,72.0,60.0,69.0,0,55.5,1,58.4,1,250000.0,0,1,0,0
1,64.6,83.83,71.72,0,86.0,0,59.75,1,218000.0,1,0,0,0
1,60.8,68.4,64.6,1,82.66,0,64.34,1,940000.0,1,0,0,0
1,62.0,60.33,64.21,0,63.0,1,60.02,0,0.0,0,1,0,1
1,67.0,63.0,72.0,0,56.0,1,60.41,1,225000.0,1,0,0,0
1,58.0,70.0,61.0,0,54.0,0,52.21,0,0.0,1,0,0,0
0,79.0,76.0,65.6,0,58.0,1,55.47,1,320000.0,0,1,0,1
1,73.0,64.0,77.0,1,65.0,1,60.98,1,250000.0,1,0,0,0
1,89.4,65.66,71.25,0,72.0,1,63.23,1,400000.0,0,1,0,1
1,63.0,67.0,66.0,0,68.0,1,57.69,1,265000.0,1,0,0,0
0,77.0,87.0,59.0,0,68.0,0,68.63,1,218000.0,1,0,0,0
1,61.08,50.0,54.0,0,71.0,0,65.69,0,0.0,0,1,0,1
0,56.28,62.83,59.79,0,60.0,1,57.29,0,0.0,1,0,0,0
1,73.0,58.0,56.0,0,84.0,1,52.64,1,300000.0,1,0,0,0
0,78.0,77.0,80.0,0,60.0,0,66.72,1,287000.0,1,0,0,0
1,80.6,82.0,77.6,0,91.0,0,74.49,1,400000.0,1,0,0,0
1,70.0,63.0,66.0,0,61.28,1,60.11,1,240000.0,0,1,0,1
1,70.0,74.0,65.0,0,83.0,0,62.28,1,300000.0,1,0,0,0
1,60.4,66.6,65.0,0,71.0,1,52.71,1,220000.0,0,1,0,0
0,47.0,55.0,65.0,0,62.0,1,65.04,0,0.0,0,1,0,0
1,63.0,66.2,65.6,1,60.0,0,62.54,1,300000.0,1,0,0,0
1,61.0,62.0,65.0,0,62.0,0,56.81,1,250000.0,1,0,0,0
1,74.0,59.0,73.0,1,60.0,1,56.7,1,240000.0,1,0,0,0
1,73.0,78.0,65.0,1,95.46,0,62.16,1,420000.0,1,0,0,0
0,87.0,65.0,81.0,1,88.0,0,72.78,1,260000.0,0,1,0,0
0,67.0,53.0,65.0,0,64.0,1,58.32,0,0.0,0,1,0,1
0,70.89,71.98,65.6,0,68.0,1,71.63,0,0.0,0,1,0,0
1,84.2,69.4,65.0,1,80.0,1,52.72,1,255000.0,0,1,0,1
0,67.16,72.5,63.35,0,53.04,0,65.52,1,250000.0,1,0,0,0
1,67.0,71.0,64.33,1,64.0,1,61.26,1,250000.0,0,1,1,0
1,63.0,72.0,68.0,0,78.0,1,60.44,1,380000.0,1,0,0,0
1,65.0,71.5,62.8,1,57.0,0,56.6,1,265000.0,1,0,0,0
1,73.0,79.0,72.0,0,91.34,0,61.29,1,231000.0,1,0,0,0
1,87.0,87.0,68.0,0,95.0,1,62.9,1,300000.0,1,0,0,0
0,69.7,47.0,72.7,0,79.0,1,59.24,0,0.0,1,0,0,1
1,59.0,64.0,58.0,0,85.0,1,55.3,0,0.0,0,1,0,1
1,84.86,67.0,78.0,0,95.5,0,68.53,1,240000.0,0,1,0,0
1,51.0,44.0,57.0,0,64.0,0,51.45,0,0.0,1,0,0,0
0,77.0,73.0,81.0,1,89.0,0,69.7,1,200000.0,1,0,0,0
1,62.0,65.0,60.0,0,84.0,0,64.15,0,0.0,1,0,0,0
1,80.0,80.0,72.0,1,63.79,0,66.04,1,290000.0,1,0,0,0
1,52.0,62.0,54.0,0,72.0,1,55.41,0,0.0,1,0,0,0
1,68.2,72.8,66.6,1,96.0,0,70.85,1,300000.0,1,0,0,0
0,52.58,54.6,50.2,1,76.0,0,65.33,0,0.0,1,0,0,0
1,63.0,60.0,57.0,1,78.0,0,54.55,1,204000.0,1,0,0,0
1,62.0,63.0,64.0,0,67.0,0,57.03,1,220000.0,1,0,0,0
1,81.0,68.0,64.0,0,93.0,0,62.56,1,411000.0,0,1,0,1
1,71.0,58.66,58.0,1,56.0,0,61.3,1,690000.0,0,1,0,1
1,54.2,63.0,58.0,0,79.0,1,58.44,0,0.0,0,1,0,0
1,87.0,74.0,65.0,1,75.0,1,72.29,1,300000.0,0,1,0,1
0,76.0,70.0,76.0,1,66.0,0,64.44,1,300000.0,0,1,0,0
1,76.0,80.0,78.0,1,97.0,1,70.48,1,276000.0,0,1,0,1
0,79.0,76.0,85.0,0,95.0,0,69.06,1,393000.0,1,0,0,0
1,71.0,79.0,66.0,1,94.0,0,57.55,1,240000.0,1,0,0,0
0,88.0,72.0,78.0,0,82.0,1,71.43,1,252000.0,0,1,1,0
1,63.0,71.4,61.4,0,68.0,0,66.88,1,240000.0,1,0,0,0
0,64.0,70.2,61.0,0,50.0,0,62.5,0,0.0,1,0,0,0
0,52.0,52.0,55.0,0,67.0,1,59.32,0,0.0,0,1,0,1
1,84.0,79.0,68.0,1,84.0,0,66.69,1,300000.0,0,1,0,1
0,74.0,66.0,58.0,0,70.0,1,60.23,1,204000.0,1,0,0,0
0,73.96,79.0,67.0,0,72.15,0,63.08,1,280000.0,1,0,0,0
1,64.0,80.0,65.0,1,69.0,0,57.65,1,500000.0,0,1,0,1
1,52.0,49.0,58.0,0,62.0,1,60.59,0,0.0,1,0,0,0
1,61.8,47.0,54.38,0,57.0,0,56.13,0,0.0,1,0,0,0
0,75.2,73.2,68.4,0,65.0,1,62.98,1,200000.0,0,1,0,0
1,66.0,64.0,60.0,0,60.0,1,61.9,0,0.0,0,1,0,0
